r,b,d,  free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,0,6380228,1936,1090228,0,0,4168,64,11621,15617,1,3,96,0,0
5,0,0,6366344,1944,1103660,0,0,808,0,10335,13988,2,3,95,0,0
2,0,0,6354084,1944,1117216,0,0,2180,24,7886,13737,2,2,96,0,0
4,1,0,6343004,1944,1127624,0,0,644,0,7485,13499,1,2,96,0,0
1,0,0,6322500,1944,1150204,0,0,7960,32,11915,16643,2,3,94,1,0
4,0,0,6301336,1944,1171096,0,0,5568,32,13529,19156,2,3,95,0,0
2,0,0,6285852,1960,1186576,0,0,496,60,11311,15066,1,4,95,0,0
4,0,0,6267172,1960,1202856,0,0,2256,24,13028,18419,3,5,92,0,0
1,0,0,6250484,1960,1218800,0,0,440,52,14637,21615,2,4,94,0,0
1,0,0,6240688,1960,1229980,0,0,700,0,10456,14645,1,2,97,0,0
1,0,0,6223796,1968,1247292,0,0,204,60,11919,16291,1,3,96,0,0
7,0,0,6210148,1968,1260688,0,0,172,0,11916,15219,1,4,95,0,0
2,0,0,6197540,1968,1273356,0,0,108,28,10629,13677,2,3,95,0,0
1,0,0,6180876,1972,1288984,0,0,168,0,11166,18968,2,3,95,0,0
1,0,0,6165220,1984,1304800,0,0,1684,28,12270,17687,1,3,95,0,0
2,0,0,6151612,1996,1318340,0,0,492,48,13216,17207,2,3,96,0,0
2,0,0,6134664,2016,1338688,0,0,4624,44,13667,18349,2,3,95,0,0
3,0,0,6119008,2016,1354912,0,0,1648,28,11462,15623,1,2,96,0,0
3,0,0,6101840,2028,1371204,0,0,296,68,17076,23383,3,6,91,0,0
2,0,0,6086460,2044,1387328,0,0,232,0,14756,21462,3,4,93,0,0
4,0,0,6070788,2044,1403408,0,0,708,44,10191,18364,1,2,97,0,0
4,0,0,6060580,2044,1413516,0,0,260,0,8137,13406,2,2,96,0,0
0,0,0,6043152,2044,1430696,0,0,360,24,15140,20400,2,3,95,0,0
3,0,0,6029048,2044,1445048,0,0,340,0,12916,18030,2,3,96,0,0
2,0,0,6013132,2060,1461300,0,0,544,60,14486,18778,2,3,95,1,0
1,0,0,5999492,2060,1474824,0,0,800,32,11402,15634,2,2,96,0,0
0,0,0,5986372,2060,1487704,0,0,128,28,10753,15022,1,2,96,0,0
0,0,0,5973472,2064,1500348,0,0,1396,24,10604,14144,2,3,95,0,0
0,0,0,5964800,2072,1507860,0,0,840,52,6962,11181,2,3,95,0,0
0,0,0,5947256,2072,1523364,0,0,128,0,15138,21273,3,5,92,0,0
2,0,0,5929072,2072,1541748,0,0,420,40,16433,24072,2,3,95,0,0
0,0,0,5918976,2072,1552292,0,0,8,0,10551,14870,2,3,95,0,0
0,0,0,5904864,2072,1567368,0,0,4248,28,10797,15101,1,3,96,0,0
0,0,0,5896760,2072,1574684,0,0,848,0,6934,11027,2,3,95,0,0
1,0,0,5878324,2088,1594324,0,0,5380,60,8389,16143,1,2,96,0,0
0,0,0,5867188,2088,1605780,0,0,204,36,10248,15066,2,2,95,0,0
0,0,0,5849028,2088,1623936,0,0,4624,28,12906,17113,2,4,94,0,0
0,0,0,5833364,2088,1640656,0,0,796,28,12788,20038,2,3,95,0,0
0,0,0,5816456,2096,1656796,0,0,312,68,13001,17927,1,3,95,0,0
0,0,0,5803336,2096,1669400,0,0,2032,0,8742,12817,1,3,96,0,0
0,0,0,5789948,2096,1680128,0,0,0,32,10395,16053,3,4,93,0,0
0,0,0,5777600,2096,1692436,0,0,0,12,9093,16606,2,3,95,0,0
0,0,0,5768260,2104,1702852,0,0,24,44,10167,13688,2,3,95,0,0
0,0,0,5753628,2104,1716784,0,0,496,0,12241,17820,2,3,95,0,0
1,0,0,5742020,2104,1729392,0,0,128,28,11600,15624,2,2,96,0,0
0,0,0,5728624,2104,1742608,0,0,104,32,12052,15365,1,4,95,0,0
1,0,0,5711384,2108,1758588,0,0,280,28,11272,16946,2,3,95,0,0
0,0,0,5702784,2120,1767948,0,0,220,0,8334,12660,2,2,96,0,0
0,0,0,5690128,2136,1781200,0,0,0,84,7697,14646,2,2,96,0,0
0,0,0,5675764,2136,1794036,0,0,104,24,8994,13374,1,3,95,0,0
0,0,0,5664196,2144,1806040,0,0,608,64,9071,12985,1,3,96,0,0
4,0,0,5650360,2148,1818872,0,0,428,0,13768,19230,4,5,91,0,0
5,0,0,5635624,2164,1832628,0,0,16,24,13122,19267,2,4,95,0,0
0,0,0,5622212,2164,1846340,0,0,0,0,13648,18089,2,3,95,0,0
0,0,0,5609856,2164,1860056,0,0,1224,28,9720,13338,2,4,95,0,0
0,0,0,5594704,2172,1875520,0,0,0,44,12499,18523,1,2,96,0,0
0,0,0,5577536,2180,1891644,0,0,236,48,14352,18842,2,3,95,0,0
0,0,0,5568952,2180,1900864,0,0,72,0,7283,11799,1,2,97,0,0
0,0,0,5561596,2184,1908728,0,0,76,52,7489,11887,2,3,96,0,0
0,0,0,5548004,2184,1922312,0,0,76,24,11285,16665,2,3,95,0,0
0,0,0,5533692,2192,1935064,0,0,0,64,13281,17424,2,2,96,0,0
0,0,0,5519716,2192,1949884,0,0,0,0,13135,18771,3,3,94,0,0
0,0,0,5507200,2192,1961780,0,0,1656,24,11244,16366,4,5,91,0,0
0,0,0,5498012,2192,1971868,0,0,0,0,10232,16524,2,3,95,0,0
1,0,0,5486656,2192,1983468,0,0,280,28,10780,14592,1,3,96,0,0
2,0,0,5476544,2208,1993880,0,0,1676,64,8061,12133,2,3,95,0,0
5,0,0,5471520,2208,1999472,0,0,0,28,6761,9939,1,3,96,0,0
0,0,0,5471432,2208,1999460,0,0,64,0,9676,13391,2,2,96,0,0
4,0,0,5471156,2208,1999748,0,0,328,56,9609,12911,1,3,96,0,0
0,0,0,5470320,2216,1999836,0,0,0,44,7646,14038,2,2,96,0,0
0,0,0,5467280,2216,2002972,0,0,3152,44,10805,14070,2,4,94,0,0
0,0,0,5465716,2216,2002868,0,0,0,0,10874,14141,2,4,94,0,0
0,0,0,5466004,2216,2003036,0,0,144,24,8853,12858,2,2,96,0,0
0,0,0,5465200,2216,2002992,0,0,0,0,9068,18092,3,4,93,0,0
0,0,0,5464704,2224,2002952,0,0,0,48,6532,10606,2,3,95,0,0
1,0,0,5463720,2224,2004216,0,0,1184,32,5078,7016,2,4,94,0,0
1,0,0,5463436,2224,2004204,0,0,0,28,10439,13452,1,3,96,0,0
3,0,0,5460672,2224,2007080,0,0,2996,0,8875,12603,2,3,95,0,0
1,0,0,5460616,2232,2007068,0,0,0,72,11631,15575,1,3,96,0,0
1,0,0,5461104,2232,2007032,0,0,0,24,13339,17329,1,3,96,0,0
0,0,0,5459324,2232,2006980,0,0,0,32,12023,16246,2,3,95,0,0
0,0,0,5459040,2232,2007240,0,0,248,12,8964,13636,1,3,96,0,0
1,0,0,5459024,2232,2007644,0,0,544,24,12445,17341,1,3,95,0,0
0,0,0,5458464,2232,2007712,0,0,0,0,10986,15043,2,4,95,0,0
3,0,0,5454804,2248,2008284,0,0,492,64,11831,16281,2,4,94,0,0
0,0,0,5458424,2248,2008260,0,0,0,32,7171,12439,2,3,96,0,0
0,0,0,5458864,2248,2008308,0,0,60,28,8135,13330,3,3,94,0,0
1,0,0,5458856,2248,2008296,0,0,0,0,8679,12783,1,3,96,0,0
2,0,0,5458312,2256,2008736,0,0,504,44,10278,17515,1,3,96,0,0
1,0,0,5458532,2256,2008700,0,0,0,32,9272,13683,2,3,95,0,0
4,0,0,5456996,2256,2008720,0,0,0,52,7322,12947,2,3,95,0,0
0,0,0,5457296,2256,2008908,0,0,256,12,9416,14024,2,3,95,0,0
1,0,0,5457224,2264,2008972,0,0,0,44,8957,14636,2,3,96,0,0
1,0,0,5457208,2264,2008924,0,0,64,0,9370,14089,1,3,95,0,0
2,0,0,5456208,2564,2010352,0,0,1716,28,9126,12826,2,3,95,0,0
1,0,0,5456168,2564,2010412,0,0,24,32,8543,12807,2,2,96,0,0
0,0,0,5456112,2564,2010472,0,0,128,28,12771,17205,4,5,91,0,0
0,0,0,5455088,2564,2010572,0,0,56,0,10276,13771,2,3,94,0,0
1,0,0,4666848,2580,2010520,0,0,0,56,14545,19143,2,8,90,0,0
1,0,0,1346400,2580,2010484,0,0,0,28,16607,22313,5,22,72,0,0
1,0,0,126860,2484,1040228,0,0,10160,88,15298,18949,4,20,76,0,0
0,0,0,122964,2488,1044300,0,0,2784,0,12594,17685,2,2,96,0,0
1,1,0,121224,2488,1045152,0,0,13408,24,10873,14160,2,3,94,0,0
0,0,0,115200,2768,1051716,0,0,2556,0,10129,14588,2,4,94,0,0
0,0,0,121748,2752,1046016,0,0,6584,28,9796,13898,1,3,96,0,0
1,0,0,120740,2680,1047040,0,0,2472,44,10369,14362,1,4,95,0,0
0,0,0,126472,2636,1040372,0,0,3728,48,7992,14323,1,2,96,0,0
0,0,0,122908,2756,1041308,0,0,2092,0,9554,16676,3,4,93,0,0
0,0,0,125908,2616,1038772,0,0,5760,24,12878,16995,2,4,95,0,0
0,0,0,116080,2616,1048344,0,0,512,28,8376,13143,1,2,96,0,0
1,0,0,124396,2476,1039540,0,0,4564,76,7599,12182,1,2,96,0,0
0,0,0,126832,2368,1035804,0,0,768,12,10381,16887,2,2,95,0,0
0,0,0,130920,1992,1033344,0,0,1628,24,11230,16873,1,3,96,0,0
2,0,0,140700,1944,1022424,0,0,708,0,14543,20054,2,4,95,0,0
0,0,0,125328,1944,1039076,0,0,5784,28,10069,13620,1,3,96,0,0
1,0,0,121296,1948,1042636,0,0,4620,56,11409,15633,1,3,96,0,0
2,0,0,123532,1940,1040544,0,0,10828,28,14055,18680,2,4,94,0,0
0,0,0,119004,1936,1044944,0,0,780,0,14185,19114,1,3,96,0,0
0,0,0,124792,2264,1037724,0,0,4192,24,12383,17392,3,5,92,1,0
0,0,0,124996,2308,1037752,0,0,23016,28,12508,17302,2,4,93,1,0
0,0,0,135032,2248,1026780,0,0,4624,76,8827,13267,2,2,96,0,0
0,0,0,124448,2256,1038260,0,0,4516,12,7165,11576,3,2,95,0,0
0,0,0,138088,2180,1024860,0,0,960,24,9677,13237,1,2,96,0,0
0,0,0,130528,2180,1033836,0,0,112,0,8811,13786,2,3,95,0,0
0,0,0,118432,2188,1047996,0,0,4288,48,8872,12031,2,3,95,0,0
0,0,0,121708,1952,1044976,0,0,10644,32,10758,14329,2,4,95,0,0
0,0,0,132544,1884,1033704,0,0,2268,28,11875,15997,2,3,96,0,0
3,0,0,121172,1888,1045760,0,0,380,0,10927,14011,1,4,95,0,0
1,0,0,159636,1520,1005540,0,0,3972,24,12071,15563,1,4,95,0,0
1,0,0,140736,2372,1022984,0,0,3300,48,13980,19552,3,6,91,0,0
1,0,0,123380,2508,1040284,0,0,4420,36,12489,17307,2,4,94,0,0
1,0,0,123380,2480,1040160,0,0,4244,12,8128,10743,3,3,94,0,0
1,0,0,128388,2428,1037380,0,0,3788,24,11636,19031,1,3,96,0,0
0,0,0,124600,2444,1038980,0,0,344,0,11008,17358,2,2,96,0,0
2,0,0,133176,2368,1030220,0,0,6224,68,11947,16264,2,4,94,0,0
2,0,0,128868,2356,1035196,0,0,9040,32,10406,13644,2,4,94,0,0
0,0,0,134940,2352,1029328,0,0,2788,28,11726,16079,2,3,95,0,0
2,0,0,141988,2148,1023388,0,0,10384,0,12118,18675,2,3,95,0,0
1,0,0,128380,2160,1037692,0,0,2052,44,12252,15385,2,3,95,0,0
0,0,0,131396,1964,1034028,0,0,6732,28,12913,17167,1,2,96,0,0
0,0,0,123576,2228,1042568,0,0,2492,64,12824,19047,3,4,93,0,0
3,0,0,136184,2256,1028484,0,0,1624,0,11256,16420,2,4,93,0,0
1,0,0,128176,2260,1035576,0,0,5612,44,11441,17586,2,4,94,0,0
1,0,0,129372,2188,1034788,0,0,11416,0,10313,14135,2,4,94,0,0
0,0,0,127608,2176,1037396,0,0,5796,28,10800,14922,1,3,95,0,0
1,0,0,130664,2028,1034188,0,0,14748,36,7690,11499,2,3,95,0,0
3,0,0,117812,2024,1045944,0,0,6120,28,7492,11468,1,3,96,0,0
1,0,0,132760,1928,1031228,0,0,5792,0,10505,13957,2,3,95,0,0
0,0,0,145172,1752,1018172,0,0,1632,64,10448,18210,1,2,96,0,0
2,0,0,135596,1752,1029376,0,0,4096,28,6613,10316,1,3,95,0,0
1,0,0,123736,1780,1041552,0,0,2504,32,8673,11743,1,3,95,0,0
0,0,0,149892,2132,1014056,0,0,3180,60,14759,21540,4,5,91,0,0
2,0,0,129968,2288,1035948,0,0,8608,24,13302,18698,3,4,93,0,0
1,0,0,119604,2288,1046048,0,0,116,0,10364,14254,2,3,95,0,0
0,0,0,123800,2244,1040860,0,0,7440,32,10422,15118,1,3,96,0,0
0,0,0,126652,2348,1036276,0,0,8344,32,9564,16666,2,2,96,0,0
2,0,0,130116,2312,1033636,0,0,6880,64,10112,19831,2,3,95,0,0
0,0,0,127280,2292,1036824,0,0,3360,0,7314,15434,1,2,96,0,0
1,0,0,118272,2296,1045008,0,0,376,24,7842,11679,2,2,96,0,0
0,0,0,128044,2184,1037520,0,0,12892,0,11073,17265,1,4,95,0,0
1,0,0,131816,2176,1032644,0,0,2476,84,7939,11810,1,2,97,0,0
0,0,0,120176,2176,1047368,0,0,932,40,11176,16524,2,3,95,0,0
1,0,0,134240,2208,1030728,0,0,2284,24,12899,19080,3,5,92,0,0
2,0,0,119972,2340,1045792,0,0,3220,0,12295,16995,2,3,94,0,0
0,0,0,145268,2112,1020684,0,0,6552,28,10554,17216,1,3,95,1,0
1,0,0,135440,1940,1030404,0,0,15648,56,12350,16294,2,4,94,0,0
1,0,0,118476,2028,1047884,0,0,8272,28,9025,13471,1,2,97,0,0
1,0,0,135816,1492,1030136,0,0,13584,0,13298,17431,2,2,95,1,0
0,0,0,127468,1492,1038856,0,0,648,24,8329,12464,2,3,95,0,0
3,0,0,118144,1492,1049040,0,0,1536,0,7269,10595,1,3,96,0,0
0,0,0,128444,1468,1037872,0,0,668,88,8913,16097,2,3,95,0,0
0,0,0,128208,1464,1039188,0,0,3112,44,11011,17867,1,3,96,0,0
0,0,0,134784,1188,1031940,0,0,1520,28,10639,14897,2,4,94,0,0
1,0,0,139688,2172,1023696,0,0,3196,0,10364,17453,3,5,92,0,0
0,0,0,128964,2308,1034316,0,0,2016,48,9421,14577,2,4,94,0,0
0,0,0,147100,2276,1015800,0,0,564,32,11647,15488,1,4,95,0,0
1,0,0,130588,2276,1033868,0,0,6548,28,9547,14021,2,3,94,0,0
0,0,0,150748,2172,1013212,0,0,736,0,11147,15574,1,3,96,0,0
0,0,0,135628,2176,1028936,0,0,6088,8,8141,13051,2,2,96,0,0
0,0,0,133864,2000,1029112,0,0,25572,20,11856,17278,1,4,94,1,0
1,0,0,137612,1788,1025588,0,0,4676,64,13837,18572,2,4,94,0,0
0,0,0,123736,1808,1041592,0,0,3316,32,12508,16844,2,3,95,0,0
2,0,0,126728,1840,1037212,0,0,12732,32,7650,11674,3,3,94,1,0
0,0,0,130792,1980,1034952,0,0,6568,148,12736,19262,3,4,92,1,0
3,0,0,131944,2120,1032952,0,0,10404,0,13348,22230,3,5,92,1,0
2,0,0,127676,2256,1037180,0,0,19368,68,9710,15391,2,4,93,1,0
0,0,0,132860,2140,1032468,0,0,6776,0,12468,15689,2,4,94,0,0
0,0,0,136640,2100,1028744,0,0,2036,24,11877,16673,2,3,96,0,0
0,0,0,127008,2108,1039172,0,0,1644,16,8530,12165,1,2,96,0,0
1,0,0,120504,2116,1045984,0,0,980,48,6349,9619,2,2,96,0,0
1,0,0,140060,2000,1026216,0,0,10168,24,7313,11281,1,2,96,1,0
0,0,0,124176,2000,1042520,0,0,2668,36,13652,17596,1,4,95,0,0
0,0,0,144660,1936,1020980,0,0,1492,24,8884,12285,1,2,96,0,0
0,0,0,135084,2072,1030864,0,0,2536,48,8524,14056,2,3,94,0,0
0,0,0,127776,2072,1038920,0,0,1720,0,6613,10195,1,2,96,0,0
1,0,0,6422200,2264,1044604,0,0,12940,60,11900,16199,4,9,87,0,0
1,0,0,6402504,2324,1064736,0,0,6752,0,13272,18248,2,4,94,0,0
0,0,0,6379784,2332,1087472,0,0,13232,44,9088,13220,2,2,95,1,0
0,0,0,6369568,2336,1096476,0,0,972,0,8019,11931,2,2,96,0,0
0,0,0,6352984,2336,1114156,0,0,7940,28,8647,13941,2,3,95,0,0
0,0,0,6334304,2336,1132616,0,0,4776,24,10963,16571,2,3,95,0,0
1,0,0,6323232,2336,1143972,0,0,328,36,10009,13362,1,2,96,0,0
0,0,0,6307356,2352,1159640,0,0,700,56,13875,17689,1,3,96,0,0
2,0,0,6286928,2364,1179016,0,0,9332,80,11024,15815,2,4,94,0,0
0,0,0,6273508,2376,1193040,0,0,1064,0,11538,16661,1,2,97,0,0
1,0,0,6257608,2384,1208804,0,0,628,92,12027,19113,2,2,96,0,0
0,0,0,6247748,2384,1215448,0,0,0,0,7899,13016,2,4,94,0,0
0,0,0,6238928,2384,1225680,0,0,3040,32,8283,13883,2,3,95,0,0
0,0,0,6229020,2388,1234676,0,0,448,0,7598,12188,1,3,96,0,0
0,0,0,6212412,2396,1252452,0,0,1680,44,12921,19301,2,3,95,0,0
0,0,0,6195780,2416,1269100,0,0,472,28,8445,16760,1,1,98,0,0
0,0,0,6186228,2416,1279004,0,0,512,44,7891,12714,2,3,95,0,0
0,0,0,6177052,2416,1288608,0,0,248,28,7601,12559,2,2,97,0,0
0,0,0,6166452,2424,1299784,0,0,0,44,12077,17048,2,4,93,0,0
0,0,0,6153064,2424,1313300,0,0,1504,0,11599,14682,1,3,97,0,0
0,0,0,6136912,2424,1330100,0,0,3024,72,10979,17528,2,3,95,0,0
0,0,0,6128508,2428,1337368,0,0,4,0,6265,10260,1,2,97,0,0
0,0,0,6117260,2428,1347224,0,0,1848,28,8625,14367,3,4,93,0,0
0,0,0,6109356,2428,1355016,0,0,380,0,8044,13246,2,3,95,0,0
0,0,0,6096984,2448,1368704,0,0,1092,56,11633,15090,2,2,95,0,0
0,0,0,6072012,2448,1394488,0,0,11736,28,12054,17913,2,3,94,0,0
1,0,0,6058672,2448,1406780,0,0,288,44,11971,16539,2,3,96,0,0
0,0,0,6044764,2448,1420648,0,0,0,4,9977,17112,1,1,98,0,0
0,0,0,6032352,2456,1432388,0,0,512,68,10829,16412,2,3,95,0,0
0,0,0,6024760,2456,1441084,0,0,664,0,8173,12187,2,2,96,0,0
0,0,0,6009136,2456,1457740,0,0,884,64,12426,19089,2,3,95,0,0
0,0,0,5993212,2456,1473372,0,0,328,0,11058,17197,2,2,96,0,0
0,0,0,5985140,2464,1481892,0,0,520,48,7429,11467,2,2,96,0,0
6,0,0,5968112,2464,1495828,0,0,120,0,14025,18722,2,4,93,0,0
3,0,0,5957608,2464,1507748,0,0,48,24,11526,15025,1,3,96,0,0
1,0,0,5949016,2464,1515592,0,0,116,0,8172,12887,2,3,95,0,0
3,0,0,5936092,2472,1527992,0,0,488,68,12111,16152,2,2,96,0,0
0,0,0,5926240,2472,1537800,0,0,0,0,7258,12508,2,2,96,0,0
0,0,0,5914024,2472,1549456,0,0,80,32,10055,14937,2,3,95,0,0
0,0,0,5901024,2472,1563496,0,0,656,0,12497,15806,2,3,95,0,0
0,0,0,5884856,2472,1579712,0,0,0,60,14145,19145,2,3,95,0,0
0,0,0,5872468,2472,1591108,0,0,332,0,8287,13177,1,3,96,0,0
0,0,0,5858560,2488,1604856,0,0,140,56,10608,17529,2,2,96,0,0
1,0,0,5845384,2488,1617996,0,0,148,0,9410,15031,1,2,96,0,0
0,0,0,5833792,2488,1630980,0,0,1056,28,10362,12635,2,3,94,0,0
1,0,0,5818712,2488,1643796,0,0,256,0,11775,16049,3,4,92,0,0
0,0,0,5822184,2504,1654884,0,0,1456,88,10024,16209,3,4,93,0,0
0,0,0,5821980,2504,1654884,0,0,0,0,3155,3925,2,2,97,0,0
0,0,0,5822232,2504,1654884,0,0,0,32,4070,5489,2,2,95,0,0
1,0,0,5821980,2504,1654948,0,0,64,0,3556,4780,2,2,96,0,0
0,0,0,5821996,2512,1655204,0,0,252,76,3965,5467,2,2,96,0,0
0,0,0,5822988,2512,1655204,0,0,0,0,3331,4113,2,2,97,0,0
