r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,0,5170048,14464,2290192,0,0,0,80,7088,11179,2,3,95,0,0
5,0,0,5159448,14464,2301384,0,0,0,0,10499,14683,1,2,96,0,0
1,0,0,5147572,14464,2313504,0,0,0,56,11888,15606,2,3,96,0,0
1,0,0,5132420,14472,2327436,0,0,0,44,11584,15574,1,4,95,0,0
2,0,0,5131908,14472,2327264,0,0,0,28,4251,5615,23,9,50,0,
0,0,0,5131916,14472,2327388,0,0,0,16,12126,16322,2,3,95,0,0
1,0,0,5132640,14472,2327408,0,0,0,24,9988,14533,1,2,97,0,0
1,0,0,5132576,14472,2327448,0,0,0,0,12775,16828,1,2,96,0,0
1,0,0,5132780,14488,2327400,0,0,0,60,14843,19500,2,3,95,0,0
5,0,0,5131904,14488,2327348,0,0,0,0,14200,18385,2,3,95,0,0
1,0,0,5129284,14488,2327264,0,0,0,60,12186,16729,3,4,93,0,0
2,0,0,5128764,14488,2327272,0,0,0,0,12985,20099,2,3,95,0,0
2,0,0,5128748,14496,2327192,0,0,0,48,12074,17597,2,2,96,0,0
1,0,0,5128716,14496,2327164,0,0,0,48,10896,15778,2,3,95,0,0
2,0,0,5128556,14496,2327148,0,0,0,28,7907,11557,2,3,95,0,0
2,0,0,5128872,14496,2327188,0,0,0,16,11577,15527,1,2,96,0,0
1,0,0,5128856,14504,2327252,0,0,0,44,12945,18561,2,3,95,0,0
0,0,0,5129076,14504,2327196,0,0,0,0,6869,10327,2,2,96,0,0
1,0,0,5129052,14504,2327172,0,0,0,28,10149,14351,2,3,96,0,0
1,0,0,5129272,14504,2327044,0,0,0,0,10312,16208,1,3,96,0,0
2,0,0,5129476,14504,2327028,0,0,0,60,8698,16383,2,2,96,0,0
1,0,0,5129908,14512,2327008,0,0,0,12,8390,13533,3,4,93,0,0
0,0,0,5129760,14520,2327096,0,0,0,52,7742,12732,2,3,95,0,0
1,0,0,5129240,14520,2326952,0,0,0,52,7804,12982,2,2,96,0,0
2,0,0,5128920,14520,2326984,0,0,0,28,7211,12568,1,2,96,0,0
2,0,0,5128744,14520,2326948,0,0,0,16,11985,16376,2,2,96,0,0
0,0,0,5128696,14528,2327024,0,0,0,44,11367,16357,2,3,95,0,0
3,0,0,5128876,14528,2326872,0,0,0,0,10115,12840,2,3,95,0,0
3,0,0,5129788,14528,2326864,0,0,0,28,9813,14695,1,3,96,0,0
0,0,0,5130696,14528,2326840,0,0,0,0,10711,14406,2,2,96,0,0
0,0,0,5130812,14536,2326872,0,0,0,80,6410,10171,2,3,95,0,0
1,0,0,5131456,14536,2326868,0,0,0,0,12108,15734,2,3,95,0,0
1,0,0,5130684,14536,2326776,0,0,0,28,15035,23428,3,4,92,0,0
1,0,0,5130148,14536,2326760,0,0,0,32,11783,18616,2,4,94,0,0
1,0,0,5129636,14544,2326820,0,0,0,68,9184,12407,1,2,96,0,0
0,0,0,5129588,14544,2326728,0,0,0,16,8395,12794,2,2,95,0,0
0,0,0,5129100,14544,2326704,0,0,0,24,9604,14280,2,3,95,0,0
7,0,0,5129036,14544,2326708,0,0,0,0,11784,15074,2,3,95,0,0
0,0,0,5129012,14544,2326648,0,0,0,32,10238,13631,1,3,95,0,0
0,0,0,5128728,14552,2326608,0,0,0,12,6880,13591,2,2,96,0,0
0,0,0,5128768,14560,2326636,0,0,0,80,7653,11896,2,2,96,0,0
0,0,0,5128152,14560,2326664,0,0,0,0,6451,9717,23,9,50,0,
0,0,0,5128208,14560,2326660,0,0,0,24,8501,12503,2,3,95,0,0
0,0,0,5128144,14560,2326628,0,0,0,28,10806,16352,3,5,92,0,0
1,0,0,5128024,14568,2326612,0,0,0,72,10885,15740,2,4,94,0,0
2,0,0,5128024,14568,2326516,0,0,0,20,11184,14618,1,3,96,0,0
0,0,0,5128836,14568,2326584,0,0,0,24,11461,15245,2,3,95,0,0
0,0,0,5128812,14568,2326548,0,0,0,0,11101,16153,1,3,96,0,0
0,0,0,5128732,14568,2326464,0,0,0,28,12474,16251,2,3,95,0,0
0,0,0,5128932,14568,2326568,0,0,0,0,10849,15643,2,3,95,0,0
0,0,0,5129148,14584,2326468,0,0,0,92,13261,17284,1,3,96,0,0
0,0,0,5128952,14584,2326400,0,0,0,0,9816,14519,2,3,95,0,0
0,0,0,5129244,14584,2326380,0,0,0,24,9192,12577,1,3,96,0,0
0,0,0,5129180,14584,2326328,0,0,0,0,13004,16409,1,3,96,0,0
1,0,0,5128532,14592,2326408,0,0,0,00,14050,19804,2,4,93,0,0
2,0,0,5129360,14592,2326392,0,0,0,16,11550,16674,2,4,94,0,0
0,0,0,5130808,14592,2326340,0,0,0,24,9185,13560,2,3,95,0,0
1,0,0,5130792,14592,2326312,0,0,0,0,9848,12707,1,3,96,0,0
0,0,0,5130808,14600,2326288,0,0,0,48,8607,10631,2,3,95,0,0
0,0,0,5130516,14600,2326296,0,0,0,0,8679,10839,2,4,94,0,0
0,0,0,5130760,14600,2326228,0,0,0,60,10517,14772,2,4,95,0,0
0,0,0,5130980,14600,2326152,0,0,0,0,9699,14767,2,2,96,0,0
0,0,0,5130680,14600,2326172,0,0,0,24,9297,11669,2,4,95,0,0
0,0,0,5130664,14600,2326208,0,0,0,0,6227,9549,13,9,60,0,
0,0,0,5130884,14616,2326248,0,0,0,16,11200,15346,2,3,95,0,0
0,0,0,5130600,14616,2326104,0,0,0,16,10433,16244,3,4,94,0,0
0,0,0,5129860,14624,2326112,0,0,0,44,11633,17548,3,3,94,0,0
